iter	RMSE
0	14.34721679
1	13.42393767
2	12.58408291
3	11.81084848
4	11.08132849
5	10.48106092
6	9.943754377
7	9.491786839
8	9.095202448
9	8.665683026
10	8.287177821
11	7.963883841
12	7.702885437
13	7.429865312
14	7.219591192
15	6.997230911
16	6.796998691
17	6.631247678
18	6.491722635
19	6.342248947
20	6.219446479
21	6.123318857
22	6.031071904
23	5.942765477
24	5.863365495
25	5.793466952
26	5.714271109
27	5.656347432
28	5.618810497
29	5.568838562
30	5.519117651
31	5.473425229
32	5.429403798
33	5.393391746
34	5.35595078
35	5.320560927
36	5.296891621
37	5.271595023
38	5.253483322
39	5.230307777
40	5.208494735
41	5.195782212
42	5.17833596
43	5.169384733
44	5.150721772
45	5.134581233
46	5.108667175
47	5.092973211
48	5.075166453
49	5.062614221
50	5.051044748
51	5.041769213
52	5.028056102
53	5.016515178
54	5.007408461
55	4.991323075
56	4.983036047
57	4.977865616
58	4.961557802
59	4.942302301
60	4.927896696
61	4.916002166
62	4.905684194
63	4.888414042
64	4.88194978
65	4.875786421
66	4.864223289
67	4.851602657
68	4.84687522
69	4.829982632
70	4.821264072
71	4.812134052
72	4.792375376
73	4.78175953
74	4.767691348
75	4.762543368
76	4.752077994
77	4.743711695
78	4.731732616
79	4.7261225
80	4.71274008
81	4.70389367
82	4.696487971
83	4.690841249
84	4.682437638
85	4.670029733
86	4.662610027
87	4.66026767
88	4.650537235
89	4.641615887
90	4.636047075
91	4.628158565
92	4.620424933
93	4.60923698
94	4.593333648
95	4.587764985
96	4.585989773
97	4.580250351
98	4.577180578
99	4.563649119
