iter	Passed	Remaining
0	1	1698
1	2	1489
2	4	1394
3	5	1358
4	6	1344
5	7	1311
6	9	1313
7	10	1309
8	12	1326
9	13	1352
10	15	1356
11	16	1342
12	17	1335
13	18	1332
14	20	1333
15	21	1334
16	22	1327
17	24	1330
18	25	1327
19	28	1374
20	29	1375
21	30	1374
22	32	1367
23	33	1361
24	34	1354
25	36	1351
26	37	1346
27	38	1340
28	39	1333
29	41	1333
30	42	1329
31	43	1326
32	45	1321
33	46	1315
34	47	1312
35	48	1306
36	50	1302
37	51	1298
38	52	1295
39	53	1291
40	55	1288
41	56	1288
42	58	1296
43	59	1299
44	61	1295
45	62	1295
46	63	1294
47	65	1293
48	66	1291
49	67	1288
50	69	1285
51	70	1282
52	71	1280
53	73	1281
54	74	1284
55	76	1283
56	77	1280
57	78	1277
58	80	1277
59	81	1276
60	82	1272
61	83	1269
62	85	1266
63	86	1262
64	87	1264
65	89	1264
66	90	1263
67	92	1261
68	93	1258
69	94	1254
70	95	1251
71	97	1250
72	98	1249
73	99	1249
74	101	1248
75	102	1246
76	103	1245
77	105	1245
78	106	1243
79	107	1241
80	109	1239
81	110	1232
82	111	1230
83	112	1228
84	113	1226
85	115	1223
86	116	1219
87	117	1217
88	118	1214
89	119	1211
90	120	1207
91	122	1205
92	123	1202
93	124	1199
94	125	1196
95	126	1195
96	128	1192
97	129	1190
98	130	1187
99	131	1183
100	132	1182
101	134	1181
102	135	1179
103	136	1177
104	137	1175
105	139	1172
106	140	1170
107	141	1167
108	142	1165
109	143	1162
110	144	1157
111	145	1155
112	146	1153
113	148	1152
114	149	1149
115	150	1148
116	151	1145
117	152	1143
118	153	1137
119	154	1136
120	156	1135
121	157	1132
122	158	1131
123	159	1129
124	161	1127
125	162	1125
126	163	1124
127	164	1122
128	165	1120
129	167	1119
130	168	1117
131	169	1115
132	170	1113
133	172	1111
134	173	1109
135	174	1107
136	175	1106
137	176	1104
138	178	1103
139	179	1101
140	180	1099
141	181	1098
142	182	1096
143	184	1095
144	185	1093
145	186	1092
146	187	1090
147	189	1089
148	190	1087
149	191	1086
150	193	1086
151	194	1085
152	195	1083
153	197	1082
154	198	1080
155	199	1078
156	200	1077
157	201	1075
158	203	1074
159	204	1073
160	205	1069
161	206	1068
162	207	1066
163	208	1065
164	210	1063
165	211	1061
166	212	1061
167	214	1060
168	215	1059
169	217	1060
170	218	1058
171	219	1056
172	220	1055
173	221	1053
174	223	1053
175	224	1052
176	226	1052
177	227	1052
178	229	1051
179	230	1048
180	231	1047
181	232	1046
182	234	1047
183	236	1047
184	237	1046
185	238	1045
186	239	1040
187	240	1040
188	242	1039
189	243	1038
190	244	1037
191	246	1036
192	247	1036
193	249	1035
194	250	1034
195	251	1033
196	253	1033
197	254	1032
198	256	1031
199	257	1030
200	259	1029
201	260	1028
202	261	1027
203	262	1025
204	264	1024
205	265	1022
206	266	1021
207	267	1020
208	269	1018
209	270	1017
210	271	1016
211	273	1015
212	274	1014
213	275	1012
214	277	1011
215	278	1010
216	279	1009
217	280	1007
218	282	1006
219	283	1005
220	284	1004
221	286	1003
222	287	1001
223	288	999
224	289	998
225	291	996
226	292	995
227	293	994
228	294	993
229	296	991
230	297	990
231	298	989
232	300	988
233	301	987
234	302	986
235	304	985
236	305	983
237	306	982
238	308	981
239	309	980
240	310	978
241	312	977
242	313	976
243	314	975
